status,pages,chars,engine,pdf_path,txt_path,message
skipped,0,19385,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\033 - Unit 6- Hedge Accounting - 74915bos60524-cp11-u6.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\033 - Unit 6- Hedge Accounting - 74915bos60524-cp11-u6.txt,up to date
skipped,0,37721,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\034 - Unit 7- Disclosures - 74916bos60524-cp11-u7.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\034 - Unit 7- Disclosures - 74916bos60524-cp11-u7.txt,up to date
skipped,0,39973,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\035 - Comprehensive Illustrations - 74917bos60524-cp11-illus.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\035 - Comprehensive Illustrations - 74917bos60524-cp11-illus.txt,up to date
skipped,0,375713,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\036 - Chapter 12- Ind AS 103 “Business Combinations” - 74918bos60524-cp12.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\036 - Chapter 12- Ind AS 103 “Business Combinations” - 74918bos60524-cp12.txt,up to date
skipped,0,15452,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\037 - Unit 1 - Introduction to Consolidated and Separate Financial Statements - 74919bos60524-cp13-u1.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\037 - Unit 1 - Introduction to Consolidated and Separate Financial Statements - 74919bos60524-cp13-u1.txt,up to date
skipped,0,3167,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\038 - Unit 2 - Important Definitions - 74920bos60524-cp13-u2.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\038 - Unit 2 - Important Definitions - 74920bos60524-cp13-u2.txt,up to date
skipped,0,143008,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\039 - Unit 3 - Ind AS 110 “Consolidated Financial Statements” - 74921bos60524-cp13-u3.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\039 - Unit 3 - Ind AS 110 “Consolidated Financial Statements” - 74921bos60524-cp13-u3.txt,up to date
skipped,0,145829,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\040 - Unit 4 - Consolidation Procedure for Subsidiaries - 74922bos60524-cp13-u4.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\040 - Unit 4 - Consolidation Procedure for Subsidiaries - 74922bos60524-cp13-u4.txt,up to date
skipped,0,73634,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\041 - Unit 5 - Ind AS 111 “Joint Arrangements” - 74923bos60524-cp13-u5.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\041 - Unit 5 - Ind AS 111 “Joint Arrangements” - 74923bos60524-cp13-u5.txt,up to date
skipped,0,88974,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\042 - Unit 6 - Ind AS 28 “Investments in Associates and Joint Ventures” - 74924bos60524-cp13-u6.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\042 - Unit 6 - Ind AS 28 “Investments in Associates and Joint Ventures” - 74924bos60524-cp13-u6.txt,up to date
skipped,0,18869,,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials\01_FR_Financial_Reporting\043 - Unit 7 - Ind AS 27 “Separate Financial Statements” - 74925bos60524-cp13-u7.pdf,C:\Users\USER\OneDrive\Documents\CA FINAL MAY 2027\CA_Final_May_2027_Command_Center\ICAI_Materials_Text\01_FR_Financial_Reporting\043 - Unit 7 - Ind AS 27 “Separate Financial Statements” - 74925bos60524-cp13-u7.txt,up to date
